biotools_id,name,description,homepage,topics,functions,tool_type,license,cost,maturity,language,url,publications
WebMetabase,WebMetabase,Cleavage sites analysis tool for natural and unnatural substrates from diverse data source.,http://webmetabase.com:8182/WebMetabaseBioinformatics/,Binding sites,Enrichment analysis; Natural product identification; Scaffolding,Web application,Other,Free of charge (with restrictions),Mature,,http://webmetabase.com:8182/WebMetabaseBioinformatics/,10.1093/bioinformatics/bty667
webnma3,WEBnma3,Protein Flexibility by means of Normal Mode Analysis. Elastic Network Model. Protein structure alignment and comparative flexibility analysis.,http://apps.cbu.uib.no/webnma3/,Biophysics; Molecular dynamics,,Web application,,Free of charge,Mature,Python,http://apps.cbu.uib.no/webnma3/,10.1186/s12859-014-0427-6; 10.1186/1471-2105-6-52
webprc,webPRC,Web server for searching for distant homologs or similar alignment in domain databases. Results may be provided as either multiple sequence alignments or aligned hidden Markov models. An alignment editor allows for user editing of output alignments.,http://www.ibi.vu.nl/programs/prcwww/,Molecular modelling,Multiple sequence alignment; Sequence alignment; Sequence profile alignment,Web application,,,,,http://www.ibi.vu.nl/programs/prcwww/,10.1093/nar/gkp279
webproanalyst,WebProAnalyst,Tool for searching for residues whose substitutions are correlated with variations in protein activity. Key physicochemical characteristics of these sites can be calculated.,http://wwwmgs.bionet.nsc.ru/mgs/programs/panalyst/,Binding sites,Protein binding site prediction; Regression analysis; Residue distance calculation; Sequence alignment analysis (site correlation),Web application,,,,,http://wwwmgs.bionet.nsc.ru/mgs/programs/panalyst/,10.1093/nar/gki421
websda,webSDA,Aweb server to simulate macromolecular diffusional association.,http://mcm.h-its.org/webSDA,Molecular dynamics,Molecular dynamics,Web application,,,,,http://mcm.h-its.org/webSDA,10.1093/NAR/GKV335
webtraceminer,WebTraceMiner,"Tool for processing and mining Expressed Sequence Tag (EST) trace files. It can help characterize 3&apos, and 5&apos, termini of cDNA inserts by detecting sequence features such as vector fragments, adapter/linker sequences, insert-flanking restriction endonuclease recognition sites, and polyA or polyT tails.",http://www.conifergdb.org/software/wtm1.2/,Binding sites,Protein feature detection; Restriction site recognition; Sequence feature detection; Vector sequence detection,Web application,,,,,http://www.conifergdb.org/software/wtm1.2/,10.1093/nar/gkm299
weighbor,Weighbor,Tool for building phylogenetic trees from distance matrices. It employs a weighted version of the neighbour-joining method in which longer distances in the matrix are given less weight.,https://www.cs.mcgill.ca/~birch/birchdoc/program/weighbor.html,Molecular modelling,Phylogenetic tree comparison; Phylogenetic tree distances calculation; Phylogenetic tree generation (minimum distance methods); Sequence distance matrix generation,Command-line tool,Unlicense,Free of charge,Mature,,https://github.com/ihh/dart/tree/master/src/Weighbor,10.1093/oxfordjournals.molbev.a026231
wellexplorer,WellExplorer,"an integrative resource linking hydraulic fracturing chemicals with hormonal pathways and geographic location.

Exposure to hydraulic fracturing fluid in drinking water increases the risk of many adverse health outcomes. Unfortunately, most individuals and researchers are unaware of the health risks posed by a particular well due to the diversity of chemical ingredients used across sites. We constructed WellExplorer (http: WellExplorer.org), an interactive tool for researchers and community members to use for retrieving information regarding the hormonal, testosterone and estrogen modulators located at each well. We found that wells in Alabama use a disproportionately high number of ingredients targeting estrogen pathways, while Illinois, Ohio and Pennsylvania use a disproportionately high number of ingredients targeting testosterone pathways. Researchers can utilize WellExplorer to study health outcomes related to exposure to fracturing chemicals in their population-based cohorts",http://WellExplorer.org,Toxicology,Data retrieval; Database search; Expression profile pathway mapping,,,,,,http://WellExplorer.org,10.1093/DATABASE/BAAA053
wenmr,WeNMR,A worldwide e-Infrastructure for NMR and structural biology.,http://www.wenmr.eu/,Structural biology,Spectral analysis,Web application,,Free of charge,,,http://www.wenmr.eu/,10.1007/s10723-012-9246-z
wenmr_gromacs,WeNMR GROMACS,The WeNMR web portal combines the versatility of this molecular dynamics package with the calculation power of the eNMR grid. This will enable you to perform many simulations from the comfort of your internet browser anywhere in the world. The server is furthermore aimed to provide a user friendly and efficient MD experience by performing many preparation and optimization steps automatically.,http://haddock.science.uu.nl/enmr/services/GROMACS/main.php,Molecular dynamics,Modelling and simulation,Web application,,,,,http://haddock.science.uu.nl/enmr/services/GROMACS/main.php,10.1021/ct300102d
wepy,wepy,"A Flexible Software Framework for Simulating Rare Events with Weighted Ensemble Resampling.

Modular implementation and framework for running weighted ensemble (WE) simulations in pure python, where the aim is to have simple things simple and complicated things possible. The latter being the priority.

The deeper architecture of wepy is intended to be loosely coupled, so that unforeseen use cases can be accomodated, but tightly integrated for the most common of use cases, i.e. molecular dynamics.

The goal of the architecture is that it should be highly modular to allow extension, but provide a “killer app” for most uses that just works, no questions asked.",http://adicksonlab.github.io/wepy,Computational chemistry; Molecular dynamics,Essential dynamics; Molecular dynamics; Regression analysis,,MIT,,,Python,https://github.com/ADicksonLab/wepy,10.26434/CHEMRXIV.12801125.V1
wgnn-dta,WGNN-DTA,Sequence-based drug-target affinity prediction using weighted graph neural networks.,https://github.com/595693085/WGNN-DTA,Molecular modelling,Protein feature detection; Protein structure prediction; Residue contact prediction; Virtual screening,Script,Not licensed,Free of charge,,Python,https://github.com/595693085/WGNN-DTA,10.1186/s12864-022-08648-9
what_check,WHAT_CHECK,"A suite of programs to assess the ""stereochemical quality"" of a given protein structure.",http://swift.cmbi.ru.nl/gv/whatcheck/,Structural biology,Protein structure analysis,Workbench,,Free of charge,,,http://swift.cmbi.ru.nl/gv/whatcheck/,
whatif,WHATIF,"A molecular modelling package that is specialized on working with proteins and the molecules in their environment like water, ligands, nucleic acids, etc.",http://swift.cmbi.ru.nl/whatif/,Molecular modelling,Protein modelling,Web application,,Free of charge,,,http://swift.cmbi.ru.nl/whatif/,10.1016/0263-7855(90)80070-V
whichcyp,WhichCyp,Predicts which P450 isoform will bind/metabolize a molecule using simple yes/no classification models.,http://www.farma.ku.dk/whichcyp/index.php,Binding sites; Drug discovery,Protein-ligand docking,Web application,,,,Java,http://www.farma.ku.dk/whichcyp/index.php,10.1093/bioinformatics/btt325
WHISCY,WHISCY,"WHISCY is a program to predict protein-protein interfaces. It is primarily based on conservation, but it also takes into account structural information. A sequence alignment is used to calculate a prediction score for each surface residue of your protein.",https://bianca.science.uu.nl/whiscy/,Binding sites,,Web application,,,Mature,,https://bianca.science.uu.nl/whiscy/,10.1002/prot.20842
wincoot,WinCoot,Windows version of Coot (Crystallographic Object)-Oriented Toolkit.,http://www.ysbl.york.ac.uk/~lohkamp/coot/wincoot.html,Structural biology,3D profile generation; Protein modelling; Structure visualisation; Validation,Workbench,,Free of charge,,,http://www.ysbl.york.ac.uk/~lohkamp/coot/wincoot.html,10.1107/s0907444904019158
winsaam,WinSAAM,Windows oriented modeling program enabling the user to explore biological systems using mathematical models. Sophisticated modeling software is required to fit data to such models and to make predictions using these compartmental models.,http://www.winsaam.org/,Molecular modelling,Visualisation,Desktop application,,,,,http://www.winsaam.org/,10.1016/s0026-0495(03)00144-6
wiws,WIWS,"Web service based on the WHAT IF software package for macromolecular analysis, visualization, modeling and structure validation. This protein structure bioinformatics web service collection has over 1600 different functions.",http://swift.cmbi.ru.nl/,Molecular modelling,Protein model validation; Protein modelling; Protein structure analysis; Protein structure prediction; Validation,Web application,,,,,http://swift.cmbi.ru.nl/,10.1093/nar/gkq453
wlake,wLake,A tool which allows to identify clusters of a structural water molecules in given superimposed 3D structures.,http://mouse.belozersky.msu.ru/~evgeniy/cgi-bin/wLake/wLake.php,Molecular modelling,Protein modelling,Web application,,,,,http://mouse.belozersky.msu.ru/~evgeniy/cgi-bin/wLake/wLake.php,10.1142/s0219720008003588
wonka,WONKA,Objective novel complex analysis for ensembles of protein–ligand structures.,http://wonka.sgc.ox.ac.uk/WONKA/,Binding sites,Protein-ligand docking,Web application,,,,Python,http://wonka.sgc.ox.ac.uk/WONKA/,10.1007/S10822-015-9866-Z
wordom,Wordom,A user-friendly program for the analysis of molecular structures and conformational ensembles.,http://wordom.sf.net,Molecular dynamics,Essential dynamics; Molecular dynamics; Principal component visualisation,Command-line tool,GPL-3.0,Free of charge,,Python,https://sourceforge.net/projects/wordom/,10.1016/j.csbj.2023.01.026
wordspy,WordSpy,Allows the user to search for over-represented words in a set of sequences and to search for discriminative words using negative sequence data. It employs this functionality as a means to search for transcription factor binding motifs.,http://cic.cs.wustl.edu/wordspy/,Binding sites,Gene prediction; Sequence motif discovery; Sequence motif recognition; Transcription factor binding site prediction; Transcriptional regulatory element prediction,Web application,,,,,http://cic.cs.wustl.edu/wordspy/,10.1093/nar/gki492
wrap_n_shake,Wrap n Shake,Provides systematic prediction of multiple binding sites and modes of ligands on macromolecular targets at atomic resolution.,http://www.wnsdock.xyz/,Cheminformatics,Molecular docking,Command-line tool,CC-BY-4.0,,,,http://www.wnsdock.xyz/,10.1186/s13321-017-0255-6
wsgobiospace,wsGoBioSpace,"Repository of sum formula with source tagged annotations for properties such as InChI strings, CAS numbers, IUPAC names, synonyms, cross references or KEGG Pathway names, among others.",http://gmd.mpimp-golm.mpg.de/GoBioSpace.aspx,Cheminformatics,Data retrieval,Web service,,,,,http://gmd.mpimp-golm.mpg.de/GoBioSpace.aspx,10.3389/fpls.2011.00054
wslibrarysearch,wsLibrarySearch,These web services provide access to methods for matching user submitted spectra against the GMD.,http://gmd.mpimp-golm.mpg.de/webservices/wsLibrarySearch.asmx,Cheminformatics,Data retrieval,Web service,,,,,http://gmd.mpimp-golm.mpg.de/webservices/wsLibrarySearch.asmx,
wsprediction,wsPrediction,Provide access to methods for prediction of chemical sub-groups by means of user submitted mass spectra.,http://gmd.mpimp-golm.mpg.de/webservices/wsPrediction.asmx,Cheminformatics,Data retrieval,Web service,,,,,http://gmd.mpimp-golm.mpg.de/webservices/wsPrediction.asmx,10.1007/s11306-010-0198-7
wwligcsrre,wwLigCSRre,"The  wwLigCSRre web server performs ligand-based screening using 3D molecular similarity engine. Inputted 3D ligand molecules may be screened against banks such as Kinase-, CNS-, GPCR-, ion-channel-, antibacterial-, anticancer-, and analgesic-focused libraries or DrugBank database.",http://bioserv.rpbs.univ-paris-diderot.fr/wwLigCSRre.html,Compound libraries and screening,Protein-ligand docking,Web application,,,,,http://bioserv.rpbs.univ-paris-diderot.fr/wwLigCSRre.html,10.1093/nar/gkp324
x-entropy,X-Entropy,"X-Entropy is a parallelized kernel density estimator with automated bandwidth selection to calculate entropy. This library is primarily meant to calculate dihedral entropies from MD simulation data. For this, we use a KDE with automatic bandwidth selection as suggested by Z. Botev et al. We tried to keep the package as generalized as possible, therefore, the package can be used to calculate the entropy of any data, or also to simply calculate the KDE.",https://github.com/liedllab/X-Entropy,Molecular dynamics,Molecular dynamics; Simulation analysis,Library,MIT,,,"Python, C++",https://github.com/liedllab/X-Entropy,10.1021/ACS.JCIM.0C01375
xaperones,Xaperones,Generates Xaperones to facilitate the crystallization of proteins of interest.,http://www.xaperones.com,Structural biology,Protein property calculation,Database portal,,,,,http://www.xaperones.com,
xcellerator,xCellerator,A Mathematica® package designed to aide biological modeling via the automated conversion of chemical reactions into ODEs and their subsequent solution via numerical integration.,http://xcellerator.info/,Molecular modelling,Protein modelling,Library,,,,Mathematica,http://xcellerator.info/,10.1093/bioinformatics/btg042
xchemexplorer,XChemExplorer,"Data management and workflow tool for the parallel determination of protein-ligand structures. It was initially written to support crystallographic fragment screening at beamline I04-1 at the Diamond Light Source, but it is a generic program that can be used to facilitate any structure-based drug design project.",http://tkrojer.github.io/XChemExplorer/,Binding sites,Protein structure analysis,Command-line tool,,,,Python,http://tkrojer.github.io/XChemExplorer/,10.1107/S2059798316020234
cls2shiny,XGBoostpowered fragility fracture risk calculator,"This web application predicts fragility fracture risk in people living with HIV using machine learning, specifically the XGBoost algorithm. It integrates clinical data to provide a risk assessment tool for clinicians and patients.",https://sydtliubo.shinyapps.io/cls2shiny/,Pharmacology,Regression analysis,,,,,,https://sydtliubo.shinyapps.io/cls2shiny/,10.3389/FCIMB.2025.1461740
xgraphboost,XGraphBoost,"XGraphBoost is a tool for extracting Graph Neural Network-based features for a better prediction of molecular properties. XGBOOST is an algorithm combining GNN and XGBOOST, which can introduce the machine learning algorithm XGBOOST under the existing GNN network architecture to improve the algorithm capability.",https://github.com/chenxiaowei-vincent/XGraphBoost,Molecular modelling,Feature extraction; Regression analysis; Small molecule design; Visualisation,Command-line tool,,,,Python,https://github.com/chenxiaowei-vincent/XGraphBoost,10.1021/ACS.JCIM.0C01489
xia2,XIA2,"Automated data reduction system designed to work from raw diffraction data and a little metadata, and produce usefully reduced data in a form suitable for immediately starting phasing and structure solution.",https://xia2.github.io/,Structural biology,Diffraction data analysis; Formatting,Command-line tool,,Free of charge,,Python,https://xia2.github.io/,10.1107/s0021889809045701
xlink_analyzer,Xlink Analyzer,Interactive software for visualizing cross-links on structures and analyzing how the structures agree with the cross-links.,http://www.beck.embl.de/XlinkAnalyzer.html,Molecular modelling,Structure analysis,Desktop application,,,,,http://www.beck.embl.de/XlinkAnalyzer.html,10.1016/j.jsb.2015.01.014
xlmap,XLmap,R package to visualize and score protein structure models based on sites of protein cross-linking.,http://brucelab.gs.washington.edu/software.html,Molecular modelling; Structural biology,Protein structure analysis,Library,,,,R,http://brucelab.gs.washington.edu/software.html,10.1093/bioinformatics/btv519
xmipp,XMIPP,A suite of image processing programs.,http://xmipp.i2pc.es/,Structural biology,3D profile generation; Data handling; Microscope image visualisation,Workbench,GPL-3.0,Free of charge,Mature,"C++, Python, Java",http://xmipp.i2pc.es/,10.1016/j.jsb.2013.09.015
xmmol,XmMol,"Desktop macromolecular visualization and modeling tool designed to be easy to use, configure and enhance. Its graphics are based on X11, and part of its user interface is based on Motif. Thus it provides a way of displaying structures on any X11 server.",http://bioserv.rpbs.univ-paris-diderot.fr/software/XmMol/,Molecular modelling,Protein structure analysis; Structure visualisation,Desktop application,,,,R,http://bioserv.rpbs.univ-paris-diderot.fr/software/XmMol/,10.1016/0263-7855(94)00011-g
xplore3d,Xplore3D,"Complete solution for 3D tomographic acquisition, reconstruction, and visualization into one integrated package.",http://www.fei.com/applications/life-sciences/,Structural biology,3D profile generation; Modelling and simulation; Visualisation,Workbench,,Free of charge,,,http://www.fei.com/applications/life-sciences/,
xpyder,xPyder,"PyMOL plugin to analyze and visualize on the 3D structure dynamical cross-correlation matrices (DCCM), linear mutual information (LMI), communication propensities (CP), intra- and inter-molecular interactions (e.g. PSN), and more, to produce highly customizable publication-quality images.",http://xpyder.sourceforge.net/,Molecular modelling,Pathway or network analysis; Protein structure analysis; Structure visualisation,Plug-in,,,,C,http://xpyder.sourceforge.net/,10.1021/ci300213c
ixrdlicious,XRDlicious,"XRDlicious is a web-based platform for calculating powder X-ray and neutron diffraction patterns, as well as radial distribution functions, from crystal structures. It supports multiple file formats and provides an accessible interface for both research and educational purposes.",https://implant.fs.cvut.cz/xrdlicious/,Molecular dynamics,Diffraction data integration; Phasing; Visualisation,,,,,,https://implant.fs.cvut.cz/xrdlicious/,10.1107/S1600576725005370
xrrpred,XRRpred,Accurate Predictor of Crystal Structure Quality from Protein Sequence.,http://biomine.cs.vcu.edu/servers/XRRPred/,Molecular modelling,Molecular docking; Protein crystallizability prediction; Protein structure prediction; Small molecule design; Visualisation,Web application,Not licensed,Free of charge,,Python,https://github.com/sinaghadermarzi/XRRpred-predictor,10.1093/BIOINFORMATICS/BTAB509
xsmiles,XSMILES,"Interactive visualization for molecules, SMILES and XAI attribution scores.",https://github.com/Bayer-Group/xsmiles,Cheminformatics,Parsing; Visualisation,Script,BSD-3-Clause,Free of charge,,JavaScript,https://github.com/Bayer-Group/xsmiles,10.1186/s13321-022-00673-w
xtb_molecular_optimization,xtb,"The xTB molecular optimization tool, based on the Semiempirical Tight Binding method (GFNn-xTB), is implemented in the xtb (extended tight binding) program package. This tool handles molecular .XYZ input format and provides various levels of optimization to suit different computational needs. The xTB method offers an efficient approach for molecular structure optimization, making it valuable for large-scale quantum chemical simulations.",https://github.com/grimme-lab/xtb,Computational chemistry,3D profile generation,Command-line tool,LGPL-3.0,Free of charge,Emerging,Fortran,https://github.com/grimme-lab/xtb,
yahs,YaHS,YaHS is scaffolding tool using Hi-C data. It relies on a new algorithm for contig joining detection which considers the topological distribution of Hi-C signals aiming to distinguish real interaction signals from mapping noises.,https://github.com/c-zhou/yahs,Binding sites,De-novo assembly; Genome assembly; Scaffolding,Command-line tool,MIT,Free of charge,,C,https://github.com/c-zhou/yahs,10.1101/2022.06.09.495093
yakusa,YAKUSA,"Program devised to rapidly scan a structural database with a query protein structure. It searches for the longest common substructures, called SHSP for “structural high scoring pairs”, between a query structure and every structure in the structural database. It makes use of protein backbone internal coordinates (α angles) in order to describe protein structures as sequences of symbols. It uses a deterministic finite automaton for pattern matching.",http://wwwabi.snv.jussieu.fr/Yakusa/html/help_general.html,Molecular modelling,Database search; Protein structure analysis,Command-line tool,,,,,http://wwwabi.snv.jussieu.fr/Yakusa/html/help_general.html,10.1002/prot.20517
yamacs,YAMACS,"YAMACS is a collection of plugins that enable users to perform GROMACS Molecular Dynamics (MD) simulation through YASARA, providing a graphical user interface (GUI) for running calculations normally performed via command-line interface.",https://github.com/YAMACS-SML/YAMACS,Structural biology,,Plug-in,GPL-3.0,Free of charge,,Python,https://github.com/YAMACS-SML/YAMACS,10.1093/bioinformatics/btac573
yasara,YASARA,"YASARA (Yet Another Scientific Artificial Reality Application) is a software package for visualization, simulation and modeling of molecules. It uses Portable Vector Language (PVL) which allows the visualization of very large proteins. YASARA View is available for free, and is primarily a visualization tool.",http://www.yasara.org/,Molecular modelling,Modelling and simulation; Molecular docking; Molecular replacement; Protein modelling,Web application,,,,Python,http://www.yasara.org/,10.1093/bioinformatics/btu426
yoripred,yORIpred,"Computational prediction of species-specific yeast DNA replication origin via iterative feature representation.

In yORIpred, 40 optimal baseline models were constructed by exploring eight different sequence-based encodings and five different machine learning classifiers, namely random forest, support vector machine, and extremely randomized tree. The predicted probability of 40 models was concatenated and considered as the novel features that enable us to learn the informative features from several sequential models in a supervised iterative mode. For a given sequence, the yORIpred predicts ORIs or non-ORIs and also the predicted probability value of ORIs.",http://thegleelab.org/yORIpred,Binding sites,Feature extraction; Feature selection; Phylogenetic analysis,,,,,,http://thegleelab.org/yORIpred,10.1093/bib/bbaa304
